Cleantext,Target
table  summarizes the demographic characteristics of the patients,1
this study was approved by the university of washington investigational review board,0
keywords mecillinam pivmecillinam pharmacokinetics pregnancy placental transfer introduction mecillinam is a lactam antibiotic with a broad spec moreover when administered in combination with trum of activity against most gramnegative bacteria other lactam antibiotics the effect of mecillinam is including the enterobacteriaceae reeves  synergistic cleeland  squires  gambertoglio et correspondence dr anne heikkila department of obstetrics and gynecology turku university central hospital kiinamyllynkatu   turku  finland   anne heikkila et al al ,0
it was much less frequent on gits therapy  conrming reports in healthy nonpregnant subjects in addition our ndings of  respiratory distress syndrome and  neonatal intensive care admission were consistent with the  and  revealed in a metaanalysis of nine studies n   showing slightly decreased neonatal morbidity and no increase in neonatal mortality after tocolysis with nifedipine versus betaagonists nifedipine gits tablets  mgday thus achieve therapeutic dosedependent drug concentrations in maternal plasma at steady state a close correlation between maternal and umbilical cord plasma concentrations a placental transfer of  and similar rates of drug clearance from the two circulations,1
her therapy was changed and she was therefore excluded from the study,0
as citalopram is  nightingale sl,0
the penetration ratio into amniotic fluid was in a range between  and  mean  sd  the penetration ratio into the fetal circulation calculated on the basis of umbilical cord blood levels was found to be in a range between  and  mean  sd ,1
rr from the division of research resources national institutes of health,0
pregnancy endpoints,0
the aim of this study was to investigate the effect of pregnancy and postpartum period on enantiomerspecific s and r intravenous iv ketorolac pharmacokinetics pks,1
the mean infant dose of norfluoxetine n   was  mgday sd   taddio et al  j clin pharmacol  table i characteristics of mothers and infants age of maternal subject no,1
the plasma levels of meoquine appeared to be similar in the pregnant women and nonpregnant women although the exposure to its inactive metabolite carboxymeoquine was signicantly higher in the pregnant women,1
noschel h g,0
the pharmacokinetic parameters of sp were highly variable among the study sites suggesting pharmacogenetic differences among the subjects,1
pharmacokinetic parameters are reported as geometric means with  cis,0
these tests were used when we analyzed the dierence in the rates of major malformations and neonatal complications,0
the tablet was designed for oral absorption and there were only two studies which reported the absorption kinetics after vaginal misoprostol ostang et al,0
although there are no data related to gastrointestinal motility and wellcontrolled gestational diabetes according to the glucose concentrations below the reference limits in the investigated patients shown in table  there is probably a metabolic effect of mild hyperglycemia on gastrointestinal motility,0
